player,pos,nation,born
Ainsley Maitland-Niles,"MF,DF",ENG,1997.0
Alexandre Lacazette,FW,FRA,1991.0
Bernd Leno,GK,GER,1992.0
Bukayo Saka,"FW,MF",ENG,2001.0
Calum Chambers,DF,ENG,1995.0
Cédric Soares,DF,POR,1991.0
Dani Ceballos,MF,ESP,1996.0
David Luiz,DF,BRA,1987.0
Eddie Nketiah,FW,ENG,1999.0
Emile Smith Rowe,"MF,FW",ENG,2000.0
Gabriel Magalhães,DF,BRA,1997.0
Gabriel Martinelli,FW,BRA,2001.0
Granit Xhaka,"MF,DF",SUI,1992.0
Héctor Bellerín,"DF,MF",ESP,1995.0
Joe Willock,MF,ENG,1999.0
Kieran Tierney,DF,SCO,1997.0
Martin Ødegaard,MF,NOR,1998.0
Mathew Ryan,GK,AUS,1992.0
Mohamed Elneny,MF,EGY,1992.0
Nicolas Pépé,FW,CIV,1995.0
Pablo Marí,DF,ESP,1993.0
Pierre-Emerick Aubameyang,FW,GAB,1989.0
Reiss Nelson,"FW,MF",ENG,1999.0
Rob Holding,DF,ENG,1995.0
Rúnar Alex Rúnarsson,GK,ISL,1995.0
Sead Kolašinac,DF,BIH,1993.0
Shkodran Mustafi,DF,GER,1992.0
Thomas Partey,MF,GHA,1993.0
Willian,FW,BRA,1988.0
Ahmed Elmohamady,DF,EGY,1987.0
Anwar El Ghazi,FW,NED,1995.0
Bertrand Traoré,FW,BFA,1995.0
Carney Chukwuemeka,"MF,FW",ENG,2003.0
Conor Hourihane,MF,IRL,1991.0
Douglas Luiz,MF,BRA,1998.0
Emiliano Martínez,GK,ARG,1992.0
Ezri Konsa,DF,ENG,1997.0
Jack Grealish,"FW,MF",ENG,1995.0
Jacob Ramsey,MF,ENG,2001.0
Jaden Philogene Bidace,FW,ENG,2002.0
John McGinn,MF,SCO,1994.0
Keinan Davis,"FW,MF",ENG,1998.0
Kortney Hause,DF,ENG,1995.0
Marvelous Nakamba,MF,ZIM,1994.0
Matt Targett,DF,ENG,1995.0
